"site","decid.index","traj.20","sampled_2005","sampled_2023"
"BF61",0.321522734,"Spruce","yes","no"
"BF62",NA,"Open","yes","yes"
"BF63",NA,"Open","yes","yes"
"BF76",0.862857697,"Deciduous","yes","yes"
"BF78",0.789857398,"Deciduous","yes","no"
"BF79",0.645323427,"Mixed","yes","yes"
"BF81",0.761509545,"Deciduous","yes","yes"
"BF84",0.290351813,"Spruce","yes","yes"
"BF86",0.68082543,"Deciduous","yes","no"
"BF87",0.932347662,"Deciduous","yes","yes"
"BF91",NA,"Open","yes","no"
"DC42",0.85962807,"Deciduous","yes","yes"
"DC30",0.875787452,"Deciduous","yes","no"
"DC31",0.760913096,"Deciduous","yes","no"
"DC34",0.655221789,"Mixed","yes","no"
"DC35",0.193842365,"Spruce","yes","yes"
"DC37",0.707973066,"Deciduous","yes","no"
"DC39",0.528292766,"Mixed","yes","yes"
"DC40",0.88399653,"Deciduous","yes","no"
"DC44",0.486520727,"Mixed","yes","yes"
"DC46",0.578569155,"Mixed","yes","no"
"DC49",0.149247305,"Spruce","yes","yes"
"DC51",0.828490794,"Deciduous","yes","no"
"DC53",0.84869218,"Deciduous","yes","no"
"DC54",0.065340292,"Spruce","yes","yes"
"TC01",NA,"Deciduous","yes","no"
"TC04",NA,"Spruce","yes","yes"
"TC08",NA,"Mixed","yes","no"
"TC10",0.623601591,"Mixed","yes","yes"
"TC13",0.949894292,"Deciduous","yes","no"
"TC14",NA,"Open","yes","no"
"TC19",NA,"Open","yes","yes"
"TC23",0.818910257,"Deciduous","yes","no"
"TC24",NA,"Open","yes","yes"
"TC25",0,"Spruce","yes","yes"
"TC26",0.352323458,"Mixed","yes","yes"
"TC27",0.042629263,"Spruce","yes","no"
"TC29",0.6830867,"Deciduous","yes","yes"
